,MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA,AUC
0,Isomap,appendicitis,_train,ABC,NONE,NONE,0.7879999999999999,0.792,0.52,0.7819999999999999,0.54,0.384,0.6561764705882352
1,Isomap,appendicitis,_train,DTREE,NONE,NONE,0.72,0.688,0.4360000000000001,0.696,0.456,0.276,0.5632352941176471
2,Isomap,appendicitis,_train,GNB,NONE,NONE,0.8099999999999999,0.804,0.608,0.8,0.664,0.46799999999999997,0.7052941176470588
3,Isomap,appendicitis,_train,KNN,NONE,NONE,0.7220000000000001,0.812,0.31399999999999995,0.748,0.23200000000000004,0.142,0.5632352941176471
4,Isomap,appendicitis,_train,LRG,NONE,NONE,0.648,0.8019999999999999,0.198,0.71,0.0,0.0,0.5
5,Isomap,appendicitis,_train,MLP,NONE,NONE,0.804,0.8320000000000001,0.4320000000000001,0.7939999999999999,0.47,0.29,0.6323529411764706
6,Isomap,appendicitis,_train,QDA,NONE,NONE,0.8400000000000001,0.8220000000000001,0.68,0.818,0.7140000000000001,0.5359999999999999,0.7502941176470588
7,Isomap,appendicitis,_train,RF,NONE,NONE,0.7939999999999999,0.8019999999999999,0.4159999999999999,0.7779999999999999,0.514,0.28,0.6097058823529411
8,Isomap,appendicitis,_train,SGD,NONE,NONE,0.78,0.7440000000000001,0.454,0.7040000000000001,0.35,0.212,0.5985294117647059
9,Isomap,appendicitis,_train,SVM,NONE,NONE,0.648,0.8019999999999999,0.198,0.71,0.0,0.0,0.5
10,Isomap,autoUniv-au1-1000,_train,ABC,NONE,NONE,0.66,0.716,0.354,0.67,0.38,0.15399999999999994,0.5351461881268434
11,Isomap,autoUniv-au1-1000,_train,DTREE,NONE,NONE,0.6779999999999999,0.6639999999999999,0.506,0.6679999999999999,0.5579999999999999,0.322,0.584005171924635
12,Isomap,autoUniv-au1-1000,_train,GNB,NONE,NONE,0.6719999999999999,0.71,0.396,0.6820000000000002,0.4400000000000001,0.204,0.5532224463827307
13,Isomap,autoUniv-au1-1000,_train,KNN,NONE,NONE,0.706,0.7340000000000001,0.44,0.71,0.498,0.258,0.5888358559598196
14,Isomap,autoUniv-au1-1000,_train,LRG,NONE,NONE,0.7040000000000001,0.742,0.3,0.6579999999999999,0.246,0.064,0.5214455671621089
15,Isomap,autoUniv-au1-1000,_train,MLP,NONE,NONE,0.716,0.742,0.466,0.718,0.514,0.284,0.6038888473945719
16,Isomap,autoUniv-au1-1000,_train,QDA,NONE,NONE,0.7120000000000001,0.732,0.478,0.718,0.546,0.308,0.6056920239806145
17,Isomap,autoUniv-au1-1000,_train,RF,NONE,NONE,0.7380000000000001,0.7639999999999999,0.442,0.728,0.4959999999999999,0.258,0.6027938078076254
