DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,DTREE,0.8480000000000001,6.0,0.892,1.0,0.8700000000000001,5.0,0.8759999999999999,4.0,0.8800000000000001,3.0,0.8859999999999999,2.0,max_solid_angle,6,SPE
x80data,DTREE,0.5599999999999999,6.0,0.6339999999999999,2.5,0.6079999999999999,5.0,0.71,1.0,0.63,4.0,0.634,2.5,max_solid_angle,6,SPE
x7data,DTREE,0.8140000000000001,1.0,0.752,3.5,0.752,3.5,0.5900000000000001,6.0,0.8099999999999999,2.0,0.708,5.0,max_solid_angle,6,SPE
x79data,DTREE,0.6859999999999999,6.0,0.8099999999999999,4.0,0.82,2.5,0.8019999999999999,5.0,0.8640000000000001,1.0,0.8200000000000001,2.5,max_solid_angle,6,SPE
x78data,DTREE,0.8099999999999999,3.0,0.8380000000000001,1.0,0.8099999999999999,3.0,0.7819999999999999,5.0,0.7779999999999999,6.0,0.8099999999999999,3.0,max_solid_angle,6,SPE
x76data,DTREE,0.7140000000000001,6.0,0.78,5.0,0.8939999999999999,1.0,0.782,4.0,0.826,2.0,0.8079999999999999,3.0,max_solid_angle,6,SPE
x75data,DTREE,0.976,4.5,0.976,4.5,0.976,4.5,0.976,4.5,0.992,2.0,0.998,1.0,max_solid_angle,6,SPE
x74data,DTREE,0.904,6.0,0.976,2.5,0.976,2.5,0.976,2.5,0.9279999999999999,5.0,0.976,2.5,max_solid_angle,6,SPE
x73data,DTREE,0.75,6.0,0.8420000000000001,3.0,0.858,1.0,0.794,5.0,0.8460000000000001,2.0,0.8380000000000001,4.0,max_solid_angle,6,SPE
x72data,DTREE,0.8979999999999999,5.0,0.9179999999999999,2.0,0.902,4.0,0.904,3.0,0.892,6.0,0.9259999999999999,1.0,max_solid_angle,6,SPE
x71data,DTREE,0.916,4.0,0.884,6.0,0.9279999999999999,2.0,0.912,5.0,0.942,1.0,0.9179999999999999,3.0,max_solid_angle,6,SPE
x70data,DTREE,0.5459999999999999,6.0,0.604,5.0,0.6140000000000001,3.0,0.634,1.0,0.606,4.0,0.618,2.0,max_solid_angle,6,SPE
x69data,DTREE,0.6,6.0,0.624,4.5,0.624,4.5,0.6459999999999999,2.0,0.638,3.0,0.706,1.0,max_solid_angle,6,SPE
x68data,DTREE,0.852,6.0,0.9,3.0,0.916,2.0,0.892,4.0,0.93,1.0,0.89,5.0,max_solid_angle,6,SPE
x66data,DTREE,0.58,6.0,0.628,4.0,0.62,5.0,0.6340000000000001,3.0,0.652,1.0,0.65,2.0,max_solid_angle,6,SPE
x65data,DTREE,0.722,6.0,0.7340000000000001,4.0,0.764,2.0,0.7559999999999999,3.0,0.7759999999999999,1.0,0.732,5.0,max_solid_angle,6,SPE
x64data,DTREE,1.0,2.0,1.0,2.0,1.0,2.0,0.986,5.5,0.986,5.5,0.996,4.0,max_solid_angle,6,SPE
