DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,RF,0.8759999999999999,6.0,0.922,4.0,0.934,1.0,0.916,5.0,0.93,2.5,0.93,2.5,solid_angle,8,SPE
x80data,RF,0.5880000000000001,6.0,0.664,4.0,0.7380000000000001,1.0,0.61,5.0,0.736,2.0,0.6839999999999999,3.0,solid_angle,8,SPE
x7data,RF,0.7979999999999999,5.0,0.8380000000000001,1.0,0.8360000000000001,2.0,0.7559999999999999,6.0,0.8140000000000001,4.0,0.8160000000000001,3.0,solid_angle,8,SPE
x79data,RF,0.7040000000000001,6.0,0.804,5.0,0.8140000000000001,3.0,0.812,4.0,0.8959999999999999,1.0,0.8220000000000001,2.0,solid_angle,8,SPE
x78data,RF,0.7859999999999999,6.0,0.9,1.0,0.8740000000000001,2.0,0.8140000000000001,5.0,0.8420000000000001,3.5,0.8420000000000001,3.5,solid_angle,8,SPE
x76data,RF,0.7859999999999999,6.0,0.8340000000000001,3.0,0.9,1.0,0.818,5.0,0.8440000000000001,2.0,0.8320000000000001,4.0,solid_angle,8,SPE
x75data,RF,1.0,1.5,0.976,5.0,0.976,5.0,0.976,5.0,0.998,3.0,1.0,1.5,solid_angle,8,SPE
x74data,RF,0.952,6.0,0.976,5.0,1.0,2.0,1.0,2.0,0.998,4.0,1.0,2.0,solid_angle,8,SPE
x73data,RF,0.8100000000000002,6.0,0.8740000000000001,4.5,0.892,1.0,0.882,2.0,0.8759999999999999,3.0,0.8740000000000001,4.5,solid_angle,8,SPE
x72data,RF,0.938,6.0,0.948,5.0,0.958,4.0,0.966,2.5,0.97,1.0,0.966,2.5,solid_angle,8,SPE
x71data,RF,0.932,4.0,0.948,1.0,0.946,2.5,0.916,5.0,0.914,6.0,0.946,2.5,solid_angle,8,SPE
x70data,RF,0.48,6.0,0.53,5.0,0.542,4.0,0.5619999999999999,3.0,0.65,1.0,0.5700000000000001,2.0,solid_angle,8,SPE
x69data,RF,0.608,6.0,0.6779999999999999,3.0,0.648,5.0,0.6679999999999999,4.0,0.72,1.0,0.718,2.0,solid_angle,8,SPE
x68data,RF,0.942,6.0,0.9559999999999998,5.0,0.982,1.0,0.9620000000000001,4.0,0.974,2.0,0.968,3.0,solid_angle,8,SPE
x66data,RF,0.6020000000000001,6.0,0.648,5.0,0.662,3.5,0.6679999999999999,2.0,0.684,1.0,0.6620000000000001,3.5,solid_angle,8,SPE
x65data,RF,0.726,6.0,0.75,4.0,0.7979999999999999,2.0,0.76,3.0,0.8119999999999999,1.0,0.7460000000000001,5.0,solid_angle,8,SPE
x64data,RF,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,solid_angle,8,SPE
x63data,RF,0.542,6.0,0.584,4.5,0.62,1.0,0.584,4.5,0.608,2.0,0.586,3.0,solid_angle,8,SPE
x60data,RF,0.742,6.0,0.7959999999999999,2.0,0.7759999999999999,4.5,0.7759999999999999,4.5,0.7899999999999999,3.0,0.8079999999999999,1.0,solid_angle,8,SPE
