DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,DTREE,0.9640000000000001,1.5,0.9640000000000001,1.5,0.9559999999999998,4.0,0.958,3.0,0.94,6.0,0.946,5.0,area_volume_ratio,4,REC
x80data,DTREE,0.904,2.0,0.906,1.0,0.89,5.0,0.8939999999999999,4.0,0.8720000000000001,6.0,0.898,3.0,area_volume_ratio,4,REC
x7data,DTREE,0.9559999999999998,1.0,0.942,2.5,0.942,2.5,0.9259999999999999,5.0,0.9279999999999999,4.0,0.91,6.0,area_volume_ratio,4,REC
x79data,DTREE,0.922,4.0,0.932,2.0,0.938,1.0,0.9280000000000002,3.0,0.8940000000000001,6.0,0.9,5.0,area_volume_ratio,4,REC
x78data,DTREE,0.942,2.0,0.938,3.0,0.93,4.5,0.93,4.5,0.92,6.0,0.958,1.0,area_volume_ratio,4,REC
x76data,DTREE,0.8899999999999999,6.0,0.906,2.0,0.934,1.0,0.904,3.0,0.898,4.0,0.8960000000000001,5.0,area_volume_ratio,4,REC
x75data,DTREE,0.996,1.5,0.992,3.5,0.992,3.5,0.996,1.5,0.95,6.0,0.9600000000000002,5.0,area_volume_ratio,4,REC
x74data,DTREE,0.978,4.5,0.988,2.5,0.992,1.0,0.988,2.5,0.978,4.5,0.974,6.0,area_volume_ratio,4,REC
x73data,DTREE,0.8719999999999999,5.0,0.904,1.0,0.8960000000000001,2.0,0.8640000000000001,6.0,0.8759999999999999,3.0,0.8740000000000001,4.0,area_volume_ratio,4,REC
x72data,DTREE,0.9359999999999999,4.0,0.95,1.0,0.938,3.0,0.94,2.0,0.8880000000000001,6.0,0.93,5.0,area_volume_ratio,4,REC
x71data,DTREE,0.942,3.0,0.9280000000000002,6.0,0.95,1.0,0.94,4.0,0.948,2.0,0.932,5.0,area_volume_ratio,4,REC
x70data,DTREE,0.748,1.5,0.7340000000000001,4.0,0.74,3.0,0.748,1.5,0.728,5.0,0.6920000000000001,6.0,area_volume_ratio,4,REC
x69data,DTREE,0.7559999999999999,1.0,0.7440000000000001,3.5,0.736,6.0,0.7540000000000001,2.0,0.7380000000000001,5.0,0.7440000000000001,3.5,area_volume_ratio,4,REC
x68data,DTREE,0.9179999999999999,5.0,0.9359999999999999,3.0,0.932,4.0,0.938,1.5,0.91,6.0,0.938,1.5,area_volume_ratio,4,REC
x66data,DTREE,0.7120000000000001,1.5,0.7100000000000001,3.0,0.696,5.0,0.7120000000000001,1.5,0.6779999999999999,6.0,0.6980000000000001,4.0,area_volume_ratio,4,REC
x65data,DTREE,0.78,4.5,0.78,4.5,0.8019999999999999,2.0,0.782,3.0,0.812,1.0,0.7619999999999999,6.0,area_volume_ratio,4,REC
x64data,DTREE,1.0,2.0,1.0,2.0,1.0,2.0,0.994,5.0,0.994,5.0,0.994,5.0,area_volume_ratio,4,REC
x63data,DTREE,0.642,1.0,0.5980000000000001,6.0,0.618,2.0,0.614,4.0,0.6159999999999999,3.0,0.602,5.0,area_volume_ratio,4,REC
x60data,DTREE,0.738,5.5,0.794,1.0,0.7659999999999999,2.0,0.738,5.5,0.74,4.0,0.752,3.0,area_volume_ratio,4,REC
x50data,DTREE,0.97,1.0,0.952,4.0,0.968,2.5,0.968,2.5,0.9359999999999999,6.0,0.946,5.0,area_volume_ratio,4,REC
x4data,DTREE,0.988,2.5,0.988,2.5,0.99,1.0,0.984,4.0,0.98,5.0,0.978,6.0,area_volume_ratio,4,REC
x48data,DTREE,0.9759999999999998,3.0,0.978,2.0,0.972,4.0,0.984,1.0,0.932,6.0,0.954,5.0,area_volume_ratio,4,REC
x45data,DTREE,0.942,1.0,0.9,5.0,0.9399999999999998,2.0,0.938,3.0,0.8939999999999999,6.0,0.906,4.0,area_volume_ratio,4,REC
x39data,DTREE,0.994,1.5,0.994,1.5,0.992,3.5,0.992,3.5,0.982,5.0,0.968,6.0,area_volume_ratio,4,REC
x38data,DTREE,0.966,3.5,0.97,1.5,0.97,1.5,0.966,3.5,0.946,6.0,0.95,5.0,area_volume_ratio,4,REC
x35data,DTREE,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,0.998,5.0,0.996,6.0,area_volume_ratio,4,REC
x32data,DTREE,0.976,3.5,0.972,5.0,0.982,1.5,0.982,1.5,0.976,3.5,0.9520000000000002,6.0,area_volume_ratio,4,REC
x31data,DTREE,0.898,1.0,0.882,3.0,0.8759999999999999,4.0,0.892,2.0,0.8260000000000002,5.0,0.8200000000000001,6.0,area_volume_ratio,4,REC
x30data,DTREE,0.942,1.0,0.916,4.0,0.9179999999999999,3.0,0.934,2.0,0.884,5.5,0.884,5.5,area_volume_ratio,4,REC
x20data,DTREE,0.95,1.0,0.906,4.0,0.9280000000000002,2.0,0.9259999999999999,3.0,0.892,5.5,0.892,5.5,area_volume_ratio,4,REC
x1data,DTREE,0.9279999999999999,1.0,0.89,4.0,0.8939999999999999,3.0,0.914,2.0,0.8800000000000001,5.0,0.8560000000000001,6.0,area_volume_ratio,4,REC
x18data,DTREE,0.95,1.0,0.938,2.0,0.934,3.0,0.9279999999999999,4.0,0.9179999999999999,5.0,0.89,6.0,area_volume_ratio,4,REC
appendicitis,DTREE,0.688,3.5,0.688,3.5,0.746,1.0,0.6779999999999999,5.0,0.69,2.0,0.642,6.0,area_volume_ratio,4,REC
autoUniv-au1-1000,DTREE,0.6639999999999999,4.5,0.6900000000000001,2.0,0.6459999999999999,6.0,0.6940000000000001,1.0,0.6759999999999999,3.0,0.6639999999999999,4.5,area_volume_ratio,4,REC
climate-simulation-craches,DTREE,0.8640000000000001,2.0,0.8480000000000001,4.0,0.866,1.0,0.852,3.0,0.7979999999999999,5.0,0.782,6.0,area_volume_ratio,4,REC
colon32,DTREE,0.8540000000000001,1.0,0.8400000000000001,2.5,0.8240000000000001,4.5,0.8400000000000001,2.5,0.8079999999999999,6.0,0.8240000000000001,4.5,area_volume_ratio,4,REC
fertility-diagnosis,DTREE,0.792,3.0,0.772,4.0,0.8380000000000001,1.0,0.8,2.0,0.77,5.0,0.6920000000000001,6.0,area_volume_ratio,4,REC
habermans-survival,DTREE,0.6559999999999999,1.0,0.62,5.0,0.648,2.0,0.634,4.0,0.584,6.0,0.6379999999999999,3.0,area_volume_ratio,4,REC
indian-liver-patient,DTREE,0.6739999999999999,3.0,0.6940000000000001,1.0,0.65,6.0,0.6659999999999999,4.5,0.6660000000000001,4.5,0.6759999999999999,2.0,area_volume_ratio,4,REC
ionosphere,DTREE,0.8759999999999999,1.0,0.8720000000000001,2.0,0.8560000000000001,5.0,0.866,4.0,0.8540000000000001,6.0,0.868,3.0,area_volume_ratio,4,REC
lsvt-voice-rehabilitation,DTREE,0.6519999999999999,2.0,0.6380000000000001,4.0,0.6839999999999999,1.0,0.642,3.0,0.5640000000000001,6.0,0.5800000000000001,5.0,area_volume_ratio,4,REC
ozone-eighthr,DTREE,0.908,1.0,0.8859999999999999,3.0,0.892,2.0,0.884,4.0,0.8340000000000001,5.0,0.8200000000000001,6.0,area_volume_ratio,4,REC
ozone-onehr,DTREE,0.95,1.0,0.924,4.0,0.94,2.5,0.9399999999999998,2.5,0.8779999999999999,5.0,0.868,6.0,area_volume_ratio,4,REC
parkinsons,DTREE,0.8360000000000001,4.0,0.8779999999999999,2.0,0.8859999999999999,1.0,0.8720000000000001,3.0,0.8079999999999999,5.0,0.742,6.0,area_volume_ratio,4,REC
phoneme,DTREE,0.852,1.0,0.8459999999999999,4.0,0.8459999999999999,4.0,0.85,2.0,0.8340000000000001,6.0,0.8459999999999999,4.0,area_volume_ratio,4,REC
pima-indians-diabetes,DTREE,0.6519999999999999,1.0,0.6180000000000001,4.0,0.638,2.0,0.6140000000000001,6.0,0.616,5.0,0.62,3.0,area_volume_ratio,4,REC
planning-relax,DTREE,0.5720000000000001,5.0,0.594,1.0,0.5820000000000001,2.0,0.578,3.0,0.5760000000000001,4.0,0.526,6.0,area_volume_ratio,4,REC
qsar-biodegradation,DTREE,0.8160000000000001,4.0,0.8319999999999999,1.0,0.826,2.0,0.818,3.0,0.8059999999999998,6.0,0.812,5.0,area_volume_ratio,4,REC
saheart,DTREE,0.6559999999999999,2.0,0.636,3.0,0.6580000000000001,1.0,0.62,5.5,0.63,4.0,0.62,5.5,area_volume_ratio,4,REC
seismic-bumps,DTREE,0.882,1.0,0.828,6.0,0.866,2.0,0.858,4.0,0.85,5.0,0.86,3.0,area_volume_ratio,4,REC
spambase,DTREE,0.908,2.5,0.908,2.5,0.908,2.5,0.908,2.5,0.9,5.5,0.9,5.5,area_volume_ratio,4,REC
spectf-heart,DTREE,0.8720000000000001,3.0,0.884,1.0,0.8740000000000001,2.0,0.8340000000000001,5.0,0.7979999999999999,6.0,0.852,4.0,area_volume_ratio,4,REC
statlog-german-credit,DTREE,0.6759999999999999,2.0,0.6859999999999999,1.0,0.6639999999999999,4.0,0.6660000000000001,3.0,0.6519999999999999,6.0,0.6579999999999999,5.0,area_volume_ratio,4,REC
statlog-german-credit-numeric,DTREE,0.7,1.0,0.6599999999999999,5.5,0.6759999999999999,2.5,0.6679999999999999,4.0,0.66,5.5,0.6759999999999999,2.5,area_volume_ratio,4,REC
thoracic-surgery,DTREE,0.718,1.0,0.7020000000000001,3.0,0.7140000000000001,2.0,0.6940000000000001,5.0,0.6779999999999999,6.0,0.7,4.0,area_volume_ratio,4,REC
thyroid-hypothyroid,DTREE,0.984,1.0,0.982,2.0,0.98,3.0,0.978,4.0,0.966,6.0,0.974,5.0,area_volume_ratio,4,REC
thyroid-sick-euthyroid,DTREE,0.96,1.5,0.952,4.0,0.9559999999999998,3.0,0.96,1.5,0.898,6.0,0.908,5.0,area_volume_ratio,4,REC
vertebra-column-2c,DTREE,0.78,4.5,0.7799999999999999,4.5,0.7979999999999999,1.0,0.784,3.0,0.7700000000000001,6.0,0.7859999999999999,2.0,area_volume_ratio,4,REC
wdbc,DTREE,0.938,4.0,0.944,1.0,0.942,2.5,0.942,2.5,0.898,6.0,0.9279999999999999,5.0,area_volume_ratio,4,REC
wholesale-channel,DTREE,0.85,4.0,0.852,3.0,0.8720000000000001,2.0,0.8740000000000001,1.0,0.8340000000000001,6.0,0.8460000000000001,5.0,area_volume_ratio,4,REC
wilt,DTREE,0.9640000000000001,1.0,0.958,4.0,0.96,2.5,0.96,2.5,0.924,6.0,0.9259999999999999,5.0,area_volume_ratio,4,REC
